tag,whichCollocation,collFrequency,logDice,whichType,verb,verbType,noun,nounType,isCollocation,k,verbFrequency,nounFrequency,item
81,sow confusion,2482,7.7,productive,sow,Vcoll,seed,Nprod1,0,1,238529,1984046,sow seed
82,sow confusion,2482,7.7,productive,cause,Vprod1,chaos,Nsyn1,0,1,8769232,647175,cause chaos
83,sow confusion,2482,7.7,synonym,plant,Vsyn1,confusion,Ncoll,-1,1,1036293,799953,plant confusion
84,sow confusion,2482,7.7,synonym,scatter,Vsyn2,confusion,Ncoll,-1,1,425278,799953,scatter confusion
85,capture imagination,23753,8.6,collocation,capture,Vcoll,imagination,Ncoll,1,1,2725823,784660,capture imagination
86,capture imagination,23753,8.6,productive,use,Vprod1,imagination,Ncoll,0,1,70467900,784660,use imagination
87,capture imagination,23753,8.6,productive,require,Vprod2,emotion,Nsyn2,0,1,14971091,1365398,require emotion
88,capture imagination,23753,8.6,synonym,seize,Vsyn1,emotion,Nsyn2,1,1,733804,1365398,seize emotion
89,capture imagination,23753,8.6,synonym,apprehend,Vsyn2,emotion,Nsyn2,-1,1,126529,1365398,apprehend emotion
90,stir passion,1356,6.2,productive,arouse,Vprod2,curiosity,Nsyn1,0,1,182171,408174,arouse curiosity
91,stir passion,1356,6.2,synonym,blend,Vsyn1,curiosity,Nsyn1,-1,1,581189,408174,blend curiosity
92,stir passion,1356,6.2,synonym,agitate,Vsyn2,curiosity,Nsyn1,-1,1,118322,408174,agitate curiosity
93,stir passion,1356,6.2,synonym,stir,Vcoll,unrest,Nsyn2,1,1,604399,182837,stir unrest
94,stifle creativity,2687,8.4,productive,admire,Vprod2,creativity,Ncoll,0,1,561098,729638,admire creativity
95,stifle creativity,2687,8.4,productive,smother,Vsyn1,laughter,Nprod2,0,1,70905,369568,smother laughter
96,stifle creativity,2687,8.4,productive,suffocate,Vsyn2,laughter,Nprod2,0,1,66747,369568,suffocate laughter
97,stifle creativity,2687,8.4,synonym,stifle,Vcoll,innovation,Nsyn1,1,1,124886,2025331,stifle innovation
98,damage credibility,3219,7,productive,destroy,Vsyn1,wall,Nprod1,0,1,2909710,4615544,destroy wall
99,damage credibility,3219,7,productive,ruin,Vsyn2,wall,Nprod1,0,1,575037,4615544,ruin wall
100,damage credibility,3219,7,productive,damage,Vcoll,computer,Nprod2,0,1,1146068,6063855,damage computer
101,damage credibility,3219,7,productive,attain,Vprod1,relation,Nsyn2,0,1,633023,3148355,attain relation
102,cement legacy,1688,7.5,productive,cement,Vcoll,pebble,Nprod1,0,1,151658,115284,cement pebble
103,cement legacy,1688,7.5,productive,honor,Vprod1,status,Nsyn1,0,1,1164276,3680200,honor status
104,cement legacy,1688,7.5,synonym,stick,Vsyn1,legacy,Ncoll,-1,1,2225600,886202,stick legacy
105,cement legacy,1688,7.5,synonym,fasten,Vsyn2,legacy,Ncoll,-1,1,155870,886202,fasten legacy
106,launch campaign,104188,9.9,collocation,launch,Vcoll,campaign,Ncoll,1,1,3882857,4769567,launch campaign
107,launch campaign,104188,9.9,productive,initiate,Vprod1,campaign,Ncoll,0,1,1104267,4769567,initiate campaign
108,launch campaign,104188,9.9,productive,organize,Vprod2,investigation,Nsyn2,0,1,2387991,2790133,organize investigation
109,launch campaign,104188,9.9,synonym,throw,Vsyn1,investigation,Nsyn2,-1,1,3612212,2790133,throw investigation
110,launch campaign,104188,9.9,synonym,pitch,Vsyn2,investigation,Nsyn2,-1,1,531141,2790133,pitch investigation
111,float idea,9736,6,productive,test,Vprod2,proposal,Nsyn1,0,1,3595859,2681541,test proposal
112,float idea,9736,6,synonym,glide,Vsyn1,proposal,Nsyn1,-1,1,147185,2681541,glide proposal
113,float idea,9736,6,synonym,sail,Vsyn2,proposal,Nsyn1,-1,1,564994,2681541,sail proposal
114,float idea,9736,6,synonym,float,Vcoll,theory,Nsyn2,1,1,621472,4260651,float theory
115,embrace diversity,8577,8,productive,tolerate,Vprod2,diversity,Ncoll,0,1,416877,1520182,tolerate diversity
116,embrace diversity,8577,8,productive,hug,Vsyn1,man,Nprod2,0,1,213227,20996408,hug man
117,embrace diversity,8577,8,productive,hold,Vsyn2,man,Nprod2,0,1,15504718,20996408,hold man
118,embrace diversity,8577,8,synonym,embrace,Vcoll,culture,Nsyn1,1,1,1112842,4986071,embrace culture
119,navigate complexity,3560,7.6,productive,traverse,Vsyn1,street,Nprod1,0,1,193543,3994672,traverse street
120,navigate complexity,3560,7.6,productive,negotiate,Vsyn2,street,Nprod1,0,1,937868,3994672,negotiate street
121,navigate complexity,3560,7.6,productive,navigate,Vcoll,sea,Nprod2,0,1,730340,3113075,navigate sea
122,navigate complexity,3560,7.6,productive,identify,Vprod1,crisis,Nsyn2,0,1,6950370,2741141,identify crisis
123,land job,32530,7.8,productive,land,Vcoll,aircraft,Nprod1,0,1,1160851,1876659,land aircraft
124,land job,32530,7.8,productive,offer,Vprod1,contract,Nsyn1,0,1,15899826,4325311,offer contract
125,land job,32530,7.8,synonym,reach,Vsyn1,job,Ncoll,-1,1,7756405,10431796,reach job
126,land job,32530,7.8,synonym,disembark,Vsyn2,job,Ncoll,-1,1,50946,10431796,disembark job
127,dash hope,9514,8.5,collocation,dash,Vcoll,hope,Ncoll,1,1,166374,2534787,dash hope
128,dash hope,9514,8.5,productive,instill,Vprod1,hope,Ncoll,1,1,141655,2534787,instill hope
129,dash hope,9514,8.5,productive,cherish,Vprod2,expectation,Nsyn2,1,1,164299,1647158,cherish expectation
130,dash hope,9514,8.5,synonym,fling,Vsyn1,expectation,Nsyn2,-1,1,129391,1647158,fling expectation
131,dash hope,9514,8.5,synonym,smash,Vsyn2,expectation,Nsyn2,1,1,298943,1647158,smash expectation
132,strike deal,38657,8.8,productive,evaluate,Vprod2,bargain,Nsyn1,0,1,2083508,285156,evaluate bargain
133,strike deal,38657,8.8,synonym,hit,Vsyn1,bargain,Nsyn1,-1,1,4802307,285156,hit bargain
134,strike deal,38657,8.8,synonym,punch,Vsyn2,bargain,Nsyn1,-1,1,288125,285156,punch bargain
135,strike deal,38657,8.8,synonym,strike,Vcoll,agreement,Nsyn2,1,1,1984205,4136634,strike agreement
136,drain treasury,561,6.2,productive,repay,Vprod2,treasury,Ncoll,0,1,233505,196559,repay treasury
137,drain treasury,561,6.2,productive,empty,Vsyn1,reservoir,Nprod2,0,1,287008,554492,empty reservoir
138,drain treasury,561,6.2,productive,clear,Vsyn2,reservoir,Nprod2,0,1,1593855,554492,clear reservoir
139,drain treasury,561,6.2,synonym,drain,Vcoll,coffer,Nsyn1,1,1,487772,55026,drain coffer
140,taste victory,1891,6.1,productive,sample,Vsyn1,cheese,Nprod1,0,1,439884,882784,sample cheese
141,taste victory,1891,6.1,productive,savor,Vsyn2,cheese,Nprod1,0,1,73954,882784,savor cheese
142,taste victory,1891,6.1,productive,taste,Vcoll,wine,Nprod2,0,1,921323,2537315,taste wine
143,taste victory,1891,6.1,productive,experience,Vprod1,defeat,Nsyn2,0,1,4134991,712446,experience defeat
144,lift ban,24335,9.5,productive,lift,Vcoll,lid,Nprod1,0,1,1452619,406892,lift lid
145,lift ban,24335,9.5,productive,impose,Vprod1,prohibition,Nsyn1,0,1,1434910,336543,impose prohibition
146,lift ban,24335,9.5,synonym,elevate,Vsyn1,ban,Ncoll,-1,1,424225,733784,elevate ban
147,lift ban,24335,9.5,synonym,raise,Vsyn2,ban,Ncoll,-1,1,6484369,733784,raise ban
148,harbor animosity,332,6.8,collocation,harbor,Vcoll,animosity,Ncoll,1,1,111631,58708,harbor animosity
149,harbor animosity,332,6.8,productive,lessen,Vprod1,animosity,Ncoll,0,1,218912,58708,lessen animosity
150,harbor animosity,332,6.8,productive,aggravate,Vprod2,suspicion,Nsyn2,0,1,170717,426569,aggravate suspicion
151,harbor animosity,332,6.8,synonym,shelter,Vsyn1,suspicion,Nsyn2,-1,1,137172,426569,shelter suspicion
152,harbor animosity,332,6.8,synonym,shield,Vsyn2,suspicion,Nsyn2,-1,1,266420,426569,shield suspicion
153,erase memory,8608,7.8,productive,recall,Vprod2,stigma,Nsyn1,0,1,1606318,193752,recall stigma
154,erase memory,8608,7.8,synonym,delete,Vsyn1,stigma,Nsyn1,-1,1,1254065,193752,delete stigma
155,erase memory,8608,7.8,synonym,eliminate,Vsyn2,stigma,Nsyn1,1,1,1911946,193752,eliminate stigma
156,erase memory,8608,7.8,synonym,erase,Vcoll,past,Nsyn2,1,1,314363,2364826,erase past
157,leak document,15015,7.9,productive,sign,Vprod2,document,Ncoll,0,1,4520084,5353797,sign document
158,leak document,15015,7.9,productive,drip,Vsyn1,water,Nprod2,0,1,156536,15289430,drip water
159,leak document,15015,7.9,productive,stream,Vsyn2,water,Nprod2,0,1,807073,15289430,stream water
160,leak document,15015,7.9,synonym,leak,Vcoll,memo,Nsyn1,1,1,461737,301683,leak memo
161,wipe debt,585,5.6,productive,wipe,Vcoll,window,Nprod1,0,1,639039,6819799,wipe window
162,wipe debt,585,5.6,productive,pay,Vprod1,charge,Nsyn1,0,1,11161866,4352099,pay charge
163,wipe debt,585,5.6,synonym,clean,Vsyn1,debt,Ncoll,-1,1,2253213,2303939,clean debt
164,wipe debt,585,5.6,synonym,swab,Vsyn2,debt,Ncoll,-1,1,13077,2303939,swab debt
165,silence critic,5913,9.5,productive,silence,Vcoll,alarm,Nprod1,0,1,244414,822176,silence alarm
166,silence critic,5913,9.5,productive,impress,Vprod1,skeptic,Nsyn1,0,1,1025333,105965,impress skeptic
167,silence critic,5913,9.5,synonym,gag,Vsyn1,critic,Ncoll,-1,1,57205,1268104,gag critic
168,silence critic,5913,9.5,synonym,muzzle,Vsyn2,critic,Ncoll,1,1,18886,1268104,muzzle critic
169,defy gravity,7592,9.8,collocation,defy,Vcoll,gravity,Ncoll,1,1,253476,606495,defy gravity
170,defy gravity,7592,9.8,productive,explain,Vprod1,gravity,Ncoll,0,1,6599746,606495,explain gravity
171,defy gravity,7592,9.8,productive,simulate,Vprod2,buoyancy,Nsyn2,0,1,326109,46757,simulate buoyancy
172,defy gravity,7592,9.8,synonym,disobey,Vsyn1,buoyancy,Nsyn2,-1,1,69527,46757,disobey buoyancy
173,defy gravity,7592,9.8,synonym,flout,Vsyn2,buoyancy,Nsyn2,-1,1,32034,46757,flout buoyancy
174,crack joke,10830,9.3,productive,hear,Vprod2,story,Nsyn1,0,1,9564768,12858542,hear story
175,crack joke,10830,9.3,synonym,split,Vsyn1,story,Nsyn1,-1,1,923858,12858542,split story
176,crack joke,10830,9.3,synonym,rupture,Vsyn2,story,Nsyn1,-1,1,46283,12858542,rupture story
177,crack joke,10830,9.3,synonym,crack,Vcoll,anecdote,Nsyn2,-1,1,598520,162764,crack anecdote
178,spill secret,1871,6.5,productive,disclose,Vprod2,secret,Ncoll,0,1,873494,1221973,disclose secret
179,spill secret,1871,6.5,productive,drop,Vsyn1,paint,Nprod2,0,1,3578350,1220160,drop paint
180,spill secret,1871,6.5,productive,spew,Vsyn2,paint,Nprod2,0,1,80693,1220160,spew paint
181,spill secret,1871,6.5,synonym,spill,Vcoll,news,Nsyn1,1,1,293416,6144862,spill news
182,inflate currency,862,6.4,productive,pump,Vsyn1,raft,Nprod1,0,1,624994,155962,pump raft
183,inflate currency,862,6.4,productive,fill,Vsyn2,raft,Nprod1,0,1,4653048,155962,fill raft
184,inflate currency,862,6.4,productive,inflate,Vcoll,mattress,Nprod2,0,1,143426,299015,inflate mattress
185,inflate currency,862,6.4,productive,issue,Vprod1,price,Nsyn2,0,1,3233793,9075539,issue price
186,swallow pride,5319,8.7,productive,swallow,Vcoll,pill,Nprod1,0,1,422866,424282,swallow pill
187,swallow pride,5319,8.7,productive,feel,Vprod1,dignity,Nsyn1,0,1,16231933,480719,feel dignity
188,swallow pride,5319,8.7,synonym,consume,Vsyn1,pride,Ncoll,-1,1,1059674,760735,consume pride
189,swallow pride,5319,8.7,synonym,guzzle,Vsyn2,pride,Ncoll,-1,1,13924,760735,guzzle pride
190,unearth conspiracy,223,5.6,collocation,unearth,Vcoll,conspiracy,Ncoll,1,1,121160,591599,unearth conspiracy
191,unearth conspiracy,223,5.6,productive,devise,Vprod1,conspiracy,Ncoll,0,1,364167,591599,devise conspiracy
192,unearth conspiracy,223,5.6,productive,conceal,Vprod2,scam,Nsyn2,0,1,427041,377325,conceal scam
193,unearth conspiracy,223,5.6,synonym,excavate,Vsyn1,scam,Nsyn2,-1,1,155304,377325,excavate scam
194,unearth conspiracy,223,5.6,synonym,disinter,Vsyn2,scam,Nsyn2,-1,1,4417,377325,disinter scam
195,shape future,38421,9.6,productive,envision,Vprod2,history,Nsyn1,-1,1,328098,11948316,envision history
196,shape future,38421,9.6,synonym,fashion,Vsyn1,history,Nsyn1,-1,1,231399,11948316,fashion history
197,shape future,38421,9.6,synonym,sculpt,Vsyn2,history,Nsyn1,-1,1,186013,11948316,sculpt history
198,shape future,38421,9.6,synonym,shape,Vcoll,reality,Nsyn2,1,1,1379487,3463963,shape reality
199,cultivate friendship,2418,7.2,productive,crave,Vprod2,friendship,Ncoll,0,1,172912,870125,crave friendship
200,cultivate friendship,2418,7.2,productive,grow,Vsyn1,wheat,Nprod2,0,1,10814751,519347,grow wheat
201,cultivate friendship,2418,7.2,productive,tend,Vsyn2,wheat,Nprod2,0,1,2758961,519347,tend wheat
202,cultivate friendship,2418,7.2,synonym,cultivate,Vcoll,partnership,Nsyn1,1,1,484590,2408790,cultivate partnership
203,dissolve marriage,4730,7.2,productive,disintegrate,Vsyn1,granule,Nprod1,0,1,91498,58255,disintegrate granule
204,dissolve marriage,4730,7.2,productive,liquefy,Vsyn2,granule,Nprod1,0,1,56430,58255,liquefy granule
205,dissolve marriage,4730,7.2,productive,dissolve,Vcoll,sugar,Nprod2,0,1,533973,1363103,dissolve sugar
206,dissolve marriage,4730,7.2,productive,forbid,Vprod1,corporation,Nsyn2,-1,1,469524,1396949,forbid corporation
207,slap tariff,2256,8.5,productive,slap,Vcoll,cheek,Nprod1,0,1,211913,431970,slap cheek
208,slap tariff,2256,8.5,productive,propose,Vprod1,sanction,Nsyn1,0,1,4256476,662378,propose sanction
209,slap tariff,2256,8.5,synonym,smack,Vsyn1,tariff,Ncoll,-1,1,100501,460491,smack tariff
210,slap tariff,2256,8.5,synonym,smite,Vsyn2,tariff,Ncoll,-1,1,79164,460491,smite tariff
211,soften tone,1415,6.4,collocation,soften,Vcoll,tone,Ncoll,1,1,223692,1439206,soften tone
212,soften tone,1415,6.4,productive,generate,Vprod1,tone,Ncoll,0,1,4079902,1439206,generate tone
213,soften tone,1415,6.4,productive,detect,Vprod2,expression,Nsyn2,0,1,1937717,2615284,detect expression
214,soften tone,1415,6.4,synonym,cushion,Vsyn1,expression,Nsyn2,-1,1,61749,2615284,cushion expression
215,soften tone,1415,6.4,synonym,weaken,Vsyn2,expression,Nsyn2,1,1,426557,2615284,weaken expression
216,steer conversation,3014,6.5,productive,overhear,Vprod2,dialogue,Nsyn1,0,1,97705,1220186,overhear dialogue
217,steer conversation,3014,6.5,synonym,drive,Vsyn1,dialogue,Nsyn1,1,1,6717522,1220186,drive dialogue
218,steer conversation,3014,6.5,synonym,maneuver,Vsyn2,dialogue,Nsyn1,1,1,90743,1220186,maneuver dialogue
219,steer conversation,3014,6.5,synonym,steer,Vcoll,talk,Nsyn2,-1,1,472643,3721837,steer talk
220,push agenda,17285,8.3,productive,publish,Vprod2,agenda,Ncoll,0,1,7238214,1316952,publish agenda
221,push agenda,17285,8.3,productive,shove,Vsyn1,teacher,Nprod2,0,1,227194,5041575,shove teacher
222,push agenda,17285,8.3,productive,thrust,Vsyn2,teacher,Nprod2,-1,1,198725,5041575,thrust teacher
223,push agenda,17285,8.3,synonym,push,Vcoll,schedule,Nsyn1,1,1,3420021,2006748,push schedule
224,spout nonsense,2385,9.5,productive,eject,Vsyn1,lava,Nprod1,0,1,128775,176481,eject lava
225,spout nonsense,2385,9.5,productive,spew,Vsyn2,lava,Nprod1,0,1,80693,176481,spew lava
226,spout nonsense,2385,9.5,productive,spout,Vcoll,ash,Nprod2,0,1,58200,493693,spout ash
227,spout nonsense,2385,9.5,productive,talk,Vprod1,gibberish,Nsyn2,0,1,7699096,25432,talk gibberish
228,beat odds,8377,7.7,productive,beat,Vcoll,drum,Nprod1,0,1,2429633,826241,beat drum
229,beat odds,8377,7.7,productive,know,Vprod1,likelihood,Nsyn1,0,1,44321220,436968,know likelihood
230,beat odds,8377,7.7,synonym,batter,Vsyn1,odds,Ncoll,-1,1,112366,1690,batter odds
231,beat odds,8377,7.7,synonym,flay,Vsyn2,odds,Ncoll,-1,1,19955,1690,flay odds
232,run risk,72368,8,collocation,run,Vcoll,risk,Ncoll,1,1,16344973,7505721,run risk
233,run risk,72368,8,productive,avoid,Vprod1,risk,Ncoll,0,1,4668498,7505721,avoid risk
234,run risk,72368,8,productive,assess,Vprod2,peril,Nsyn2,0,1,2145138,172764,assess peril
235,run risk,72368,8,synonym,sprint,Vsyn1,peril,Nsyn2,-1,1,77898,172764,sprint peril
236,run risk,72368,8,synonym,bolt,Vsyn2,peril,Nsyn2,-1,1,150266,172764,bolt peril
237,sway voter,1859,7.3,productive,greet,Vprod2,jury,Nsyn1,0,1,548586,842427,greet jury
238,sway voter,1859,7.3,synonym,swing,Vsyn1,jury,Nsyn1,1,1,526379,842427,swing jury
239,sway voter,1859,7.3,synonym,oscillate,Vsyn2,jury,Nsyn1,-1,1,74331,842427,oscillate jury
240,sway voter,1859,7.3,synonym,sway,Vcoll,public,Nsyn2,1,1,177841,3122198,sway public
241,swing election,1973,5.9,productive,begin,Vprod2,election,Ncoll,0,1,14523172,4627641,begin election
242,swing election,1973,5.9,productive,sway,Vsyn1,sword,Nprod2,-1,1,177841,764850,sway sword
243,swing election,1973,5.9,productive,wave,Vsyn2,sword,Nprod2,0,1,362889,764850,wave sword
244,swing election,1973,5.9,synonym,swing,Vcoll,referendum,Nsyn1,1,1,526379,401896,swing referendum
245,hurl insult,4254,9.6,productive,fling,Vsyn1,grenade,Nprod1,0,1,129391,184914,fling grenade
246,hurl insult,4254,9.6,productive,lob,Vsyn2,grenade,Nprod1,0,1,26960,184914,lob grenade
247,hurl insult,4254,9.6,productive,hurl,Vcoll,javelin,Nprod2,0,1,132621,43488,hurl javelin
248,hurl insult,4254,9.6,productive,yell,Vprod1,accusation,Nsyn2,0,1,454136,390808,yell accusation
249,rig lottery,190,5.4,productive,rig,Vcoll,sail,Nprod1,0,1,146140,373898,rig sail
250,rig lottery,190,5.4,productive,win,Vprod1,sweepstake,Nsyn1,0,1,9758957,12734,win sweepstake
251,rig lottery,190,5.4,synonym,supply,Vsyn1,lottery,Ncoll,-1,1,2216698,459231,supply lottery
252,rig lottery,190,5.4,synonym,outfit,Vsyn2,lottery,Ncoll,-1,1,94463,459231,outfit lottery
253,harness energy,10945,7.6,collocation,harness,Vcoll,energy,Ncoll,1,1,231957,8256596,harness energy
254,harness energy,10945,7.6,productive,generate,Vprod1,energy,Ncoll,0,1,4079902,8256596,generate energy
